XLNX,time
222.73,12/8/21 8:30
226.4,12/8/21 8:45
223.56,12/8/21 9:00
223.8,12/8/21 9:15
224.49,12/8/21 9:30
224.28,12/8/21 9:45
223.84,12/8/21 10:00
222.32,12/8/21 10:15
223.31,12/8/21 10:30
223.36,12/8/21 10:45
224.55,12/8/21 11:00
224.83,12/8/21 11:15
225.08,12/8/21 11:30
225.15,12/8/21 11:45
225.01,12/8/21 12:00
225.89,12/8/21 12:15
225.81,12/8/21 12:30
225.41,12/8/21 12:45
225.34,12/8/21 13:00
225.04,12/8/21 13:15
224.91,12/8/21 13:30
224.78,12/8/21 13:45
225.38,12/8/21 14:00
225.44,12/8/21 14:16
225.62,12/8/21 14:31
225.18,12/8/21 14:45
224.75,12/8/21 15:01
224.54,12/09/21 08:31
225.8,12/09/21 08:45
224.21,12/09/21 09:01
223.17,12/09/21 09:16
222.13,12/09/21 09:30
221.82,12/09/21 09:46
221.57,12/09/21 10:00
221.89,12/09/21 10:16
222.22,12/09/21 10:30
221.29,12/09/21 10:46
220.24,12/09/21 11:01
219.37,12/09/21 11:16
219.4,12/09/21 11:30
219.08,12/09/21 11:45
219.51,12/09/21 12:01
219.57,12/09/21 12:15
218.45,12/09/21 12:30
218.12,12/09/21 12:46
217.84,12/09/21 13:00
215.1,12/09/21 13:15
216.56,12/09/21 13:30
216.92,12/09/21 13:45
216.92,12/09/21 14:01
216.44,12/09/21 14:16
216.91,12/09/21 14:30
216.96,12/09/21 14:46
215.02,12/09/21 15:01
218.92,12/10/21 08:30
216.67,12/10/21 08:45
215.92,12/10/21 09:00
217.4,12/10/21 09:15
217.82,12/10/21 09:30
214.68,12/10/21 09:45
214.78,12/10/21 10:00
213.82,12/10/21 10:15
214.94,12/10/21 10:30
215.09,12/10/21 10:45
215.16,12/10/21 11:00
216.71,12/10/21 11:15
216.23,12/10/21 11:30
215.82,12/10/21 11:45
216.24,12/10/21 12:01
215.99,12/10/21 12:15
215.89,12/10/21 12:30
215.52,12/10/21 12:46
215.96,12/10/21 13:01
