NVDA,time
318.06,12/8/21 8:30
320.8,12/8/21 8:45
317.69,12/8/21 9:00
317.53,12/8/21 9:15
318.62,12/8/21 9:30
317.4,12/8/21 9:45
318.29,12/8/21 10:00
319.73,12/8/21 10:15
321.15,12/8/21 10:30
319.79,12/8/21 10:45
320.43,12/8/21 11:00
319.9,12/8/21 11:15
318.98,12/8/21 11:30
319.52,12/8/21 11:45
318.0,12/8/21 12:00
318.59,12/8/21 12:15
318.43,12/8/21 12:30
320.21,12/8/21 12:45
319.92,12/8/21 13:00
319.0,12/8/21 13:15
317.17,12/8/21 13:30
317.36,12/8/21 13:45
318.04,12/8/21 14:00
318.23,12/8/21 14:16
318.24,12/8/21 14:31
316.13,12/8/21 14:45
318.26,12/8/21 15:01
318.36,12/09/21 08:31
321.51,12/09/21 08:45
316.96,12/09/21 09:01
316.21,12/09/21 09:16
314.99,12/09/21 09:30
314.7,12/09/21 09:46
313.69,12/09/21 10:00
315.11,12/09/21 10:16
316.15,12/09/21 10:30
315.32,12/09/21 10:46
314.7,12/09/21 11:01
314.1,12/09/21 11:16
312.5,12/09/21 11:30
312.54,12/09/21 11:45
313.34,12/09/21 12:01
312.69,12/09/21 12:15
312.02,12/09/21 12:30
310.72,12/09/21 12:46
309.64,12/09/21 13:00
304.96,12/09/21 13:15
307.67,12/09/21 13:30
308.91,12/09/21 13:45
308.63,12/09/21 14:01
306.31,12/09/21 14:16
308.09,12/09/21 14:30
307.48,12/09/21 14:46
304.9,12/09/21 15:01
311.57,12/10/21 08:30
303.91,12/10/21 08:45
303.85,12/10/21 09:00
305.67,12/10/21 09:15
306.64,12/10/21 09:30
303.66,12/10/21 09:45
303.99,12/10/21 10:00
302.15,12/10/21 10:15
301.85,12/10/21 10:30
302.14,12/10/21 10:45
302.79,12/10/21 11:00
303.3,12/10/21 11:15
302.4,12/10/21 11:30
301.44,12/10/21 11:45
301.33,12/10/21 12:01
300.13,12/10/21 12:15
300.1,12/10/21 12:30
299.71,12/10/21 12:46
300.35,12/10/21 13:01
300.11,12/10/21 13:15
300.03,12/10/21 13:31
299.96,12/10/21 13:45
299.94,12/10/21 14:00
299.66,12/10/21 14:15
301.62,12/10/21 14:30
300.72,12/10/21 14:45
301.98,12/10/21 15:01
301.98,12/10/21 15:15
301.98,12/10/21 15:30
301.98,12/10/21 15:45
300.74,12/13/21 08:31
302.27,12/13/21 08:45
299.08,12/13/21 09:01
299.17,12/13/21 09:15
295.99,12/13/21 09:30
295.05,12/13/21 09:45
294.73,12/13/21 10:00
293.27,12/13/21 10:15
290.51,12/13/21 10:30
289.93,12/13/21 10:45
289.44,12/13/21 11:00
290.88,12/13/21 11:15
291.25,12/13/21 11:30
292.49,12/13/21 11:45
289.99,12/13/21 12:00
290.41,12/13/21 12:16
290.7,12/13/21 12:30
292.11,12/13/21 12:46
289.68,12/13/21 13:01
288.89,12/13/21 13:15
288.75,12/13/21 13:30
288.81,12/13/21 13:45
288.75,12/13/21 14:01
289.68,12/13/21 14:15
285.0,12/13/21 14:31
284.85,12/13/21 14:46
281.61,12/13/21 15:01
281.61,12/13/21 15:16
281.61,12/13/21 15:31
281.61,12/13/21 15:45
276.62,12/14/21 08:31
283.25,12/14/21 08:45
282.51,12/14/21 09:01
278.39,12/14/21 09:16
286.17,12/14/21 09:30
280.8,12/14/21 09:45
278.62,12/14/21 10:01
277.92,12/14/21 10:15
280.9,12/14/21 10:31
276.83,12/14/21 10:46
276.61,12/14/21 11:01
274.89,12/14/21 11:16
275.9,12/14/21 11:30
274.9,12/14/21 11:46
276.34,12/14/21 12:01
278.52,12/14/21 12:16
278.35,12/14/21 12:30
277.17,12/14/21 12:45
276.8,12/14/21 13:00
279.91,12/14/21 13:16
280.33,12/14/21 13:30
281.67,12/14/21 13:46
280.97,12/14/21 14:01
281.61,12/14/21 14:16
284.1,12/14/21 14:31
282.53,12/14/21 14:46
283.37,12/14/21 15:01
283.37,12/14/21 15:16
283.37,12/14/21 15:30
283.37,12/14/21 15:46
283.39,12/15/21 08:30
284.39,12/15/21 08:45
282.96,12/15/21 09:01
285.28,12/15/21 09:15
287.7,12/15/21 09:33
288.84,12/15/21 09:47
286.73,12/15/21 10:00
286.73,12/15/21 10:16
285.73,12/15/21 10:30
282.72,12/15/21 10:45
284.32,12/15/21 11:00
281.31,12/15/21 11:15
283.14,12/15/21 11:31
282.74,12/15/21 11:46
282.85,12/15/21 12:01
283.17,12/15/21 12:16
284.01,12/15/21 12:30
284.0,12/15/21 12:46
281.68,12/15/21 13:00
288.77,12/15/21 13:15
287.94,12/15/21 13:31
290.61,12/15/21 13:45
292.13,12/15/21 14:00
299.89,12/15/21 14:15
298.83,12/15/21 14:30
300.36,12/15/21 14:45
304.59,12/15/21 15:01
304.59,12/15/21 15:16
304.59,12/15/21 15:31
304.59,12/15/21 15:45
308.33,12/16/21 08:30
301.58,12/16/21 08:45
298.02,12/16/21 09:00
294.89,12/16/21 09:15
296.67,12/16/21 09:30
292.69,12/16/21 09:45
291.66,12/16/21 10:00
288.56,12/16/21 10:15
289.83,12/16/21 10:31
286.25,12/16/21 10:45
286.57,12/16/21 11:01
285.11,12/16/21 11:15
285.77,12/16/21 11:31
286.06,12/16/21 11:45
285.84,12/16/21 12:00
287.38,12/16/21 12:15
287.05,12/16/21 12:31
285.91,12/16/21 12:45
285.84,12/16/21 13:00
283.96,12/16/21 13:15
283.12,12/16/21 13:31
282.09,12/16/21 13:45
282.67,12/16/21 14:01
281.8,12/16/21 14:15
285.78,12/16/21 14:30
284.11,12/16/21 14:45
283.87,12/16/21 15:00
283.87,12/16/21 15:15
283.87,12/16/21 15:30
283.87,12/16/21 15:45
281.15,12/17/21 08:31
282.39,12/17/21 08:46
284.79,12/17/21 09:01
280.86,12/17/21 09:16
283.64,12/17/21 09:30
287.07,12/17/21 09:46
287.19,12/17/21 10:00
287.66,12/17/21 10:15
286.36,12/17/21 10:30
282.5,12/17/21 10:46
283.36,12/17/21 11:00
284.63,12/17/21 11:16
282.08,12/17/21 11:31
281.36,12/17/21 11:45
281.14,12/17/21 12:01
281.17,12/17/21 12:16
282.51,12/17/21 12:30
281.86,12/17/21 12:45
282.76,12/17/21 13:01
283.8,12/17/21 13:16
282.39,12/17/21 13:31
283.42,12/17/21 13:45
282.55,12/17/21 14:01
282.44,12/17/21 14:15
