MSFT,time
334.84,12/8/21 8:30
333.77,12/8/21 8:45
333.18,12/8/21 9:00
332.43,12/8/21 9:15
332.7,12/8/21 9:30
332.34,12/8/21 9:45
331.48,12/8/21 10:00
331.96,12/8/21 10:15
331.64,12/8/21 10:30
331.52,12/8/21 10:45
331.58,12/8/21 11:00
331.45,12/8/21 11:15
331.1,12/8/21 11:30
331.86,12/8/21 11:45
331.63,12/8/21 12:00
331.84,12/8/21 12:15
332.06,12/8/21 12:30
332.68,12/8/21 12:45
332.61,12/8/21 13:00
332.35,12/8/21 13:15
332.7,12/8/21 13:30
332.86,12/8/21 13:45
333.03,12/8/21 14:00
332.93,12/8/21 14:16
332.96,12/8/21 14:31
332.96,12/8/21 14:45
334.97,12/8/21 15:01
335.45,12/09/21 08:31
336.31,12/09/21 08:45
334.82,12/09/21 09:01
333.87,12/09/21 09:16
333.89,12/09/21 09:30
333.93,12/09/21 09:46
333.8,12/09/21 10:00
333.73,12/09/21 10:16
335.08,12/09/21 10:30
334.3,12/09/21 10:46
334.54,12/09/21 11:01
333.88,12/09/21 11:16
333.78,12/09/21 11:30
333.95,12/09/21 11:45
334.94,12/09/21 12:01
334.31,12/09/21 12:15
334.63,12/09/21 12:30
333.99,12/09/21 12:46
334.13,12/09/21 13:00
333.92,12/09/21 13:15
334.36,12/09/21 13:30
334.12,12/09/21 13:45
333.85,12/09/21 14:01
332.41,12/09/21 14:16
333.32,12/09/21 14:30
333.92,12/09/21 14:46
333.1,12/09/21 15:01
334.83,12/10/21 08:30
337.32,12/10/21 08:45
338.23,12/10/21 09:00
340.97,12/10/21 09:15
342.47,12/10/21 09:30
341.45,12/10/21 09:45
340.87,12/10/21 10:00
339.26,12/10/21 10:15
339.41,12/10/21 10:30
340.29,12/10/21 10:45
340.03,12/10/21 11:00
339.09,12/10/21 11:15
339.09,12/10/21 11:30
338.98,12/10/21 11:45
340.22,12/10/21 12:01
340.48,12/10/21 12:15
340.79,12/10/21 12:30
340.28,12/10/21 12:46
340.62,12/10/21 13:01
340.63,12/10/21 13:15
340.99,12/10/21 13:31
340.18,12/10/21 13:45
340.0,12/10/21 14:00
340.46,12/10/21 14:15
341.11,12/10/21 14:30
341.37,12/10/21 14:45
342.54,12/10/21 15:01
342.54,12/10/21 15:15
342.54,12/10/21 15:30
342.54,12/10/21 15:45
340.98,12/13/21 08:31
341.61,12/13/21 08:45
341.52,12/13/21 09:01
343.47,12/13/21 09:15
342.04,12/13/21 09:30
341.81,12/13/21 09:45
341.99,12/13/21 10:00
340.88,12/13/21 10:15
341.47,12/13/21 10:30
341.67,12/13/21 10:45
340.88,12/13/21 11:00
341.05,12/13/21 11:15
341.35,12/13/21 11:30
341.59,12/13/21 11:45
341.26,12/13/21 12:00
341.35,12/13/21 12:16
340.74,12/13/21 12:30
340.94,12/13/21 12:46
341.22,12/13/21 13:01
341.3,12/13/21 13:15
341.6,12/13/21 13:30
341.48,12/13/21 13:45
342.07,12/13/21 14:01
341.49,12/13/21 14:15
341.42,12/13/21 14:31
341.39,12/13/21 14:46
339.4,12/13/21 15:01
339.4,12/13/21 15:16
339.4,12/13/21 15:31
339.4,12/13/21 15:45
332.7,12/14/21 08:31
332.43,12/14/21 08:45
330.11,12/14/21 09:01
329.02,12/14/21 09:16
329.66,12/14/21 09:30
328.05,12/14/21 09:45
326.67,12/14/21 10:01
325.18,12/14/21 10:15
326.51,12/14/21 10:31
325.69,12/14/21 10:46
325.88,12/14/21 11:01
324.75,12/14/21 11:16
324.91,12/14/21 11:30
324.2,12/14/21 11:46
325.04,12/14/21 12:01
325.06,12/14/21 12:16
326.0,12/14/21 12:30
325.69,12/14/21 12:45
325.33,12/14/21 13:00
326.32,12/14/21 13:16
326.36,12/14/21 13:30
327.41,12/14/21 13:46
327.25,12/14/21 14:01
327.61,12/14/21 14:16
328.94,12/14/21 14:31
327.79,12/14/21 14:46
328.34,12/14/21 15:01
328.34,12/14/21 15:16
328.34,12/14/21 15:30
328.34,12/14/21 15:46
329.06,12/15/21 08:30
329.04,12/15/21 08:45
328.82,12/15/21 09:01
328.79,12/15/21 09:15
329.68,12/15/21 09:33
330.07,12/15/21 09:47
329.92,12/15/21 10:00
328.35,12/15/21 10:16
327.18,12/15/21 10:30
326.04,12/15/21 10:45
326.0,12/15/21 11:00
325.78,12/15/21 11:15
325.93,12/15/21 11:31
325.46,12/15/21 11:46
325.58,12/15/21 12:01
325.8,12/15/21 12:16
325.71,12/15/21 12:30
325.79,12/15/21 12:46
325.13,12/15/21 13:00
328.4,12/15/21 13:15
327.35,12/15/21 13:31
328.4,12/15/21 13:45
328.97,12/15/21 14:00
331.58,12/15/21 14:15
332.09,12/15/21 14:30
332.67,12/15/21 14:45
334.65,12/15/21 15:01
334.65,12/15/21 15:16
334.65,12/15/21 15:31
334.65,12/15/21 15:45
335.15,12/16/21 08:30
335.07,12/16/21 08:45
332.08,12/16/21 09:00
331.56,12/16/21 09:15
332.74,12/16/21 09:30
331.66,12/16/21 09:45
331.39,12/16/21 10:00
329.37,12/16/21 10:15
328.74,12/16/21 10:31
328.35,12/16/21 10:45
328.04,12/16/21 11:01
326.53,12/16/21 11:15
326.38,12/16/21 11:31
327.17,12/16/21 11:45
326.01,12/16/21 12:00
326.96,12/16/21 12:15
326.91,12/16/21 12:31
327.34,12/16/21 12:45
327.11,12/16/21 13:00
325.98,12/16/21 13:15
325.08,12/16/21 13:31
323.72,12/16/21 13:45
324.66,12/16/21 14:01
324.17,12/16/21 14:15
325.7,12/16/21 14:30
325.88,12/16/21 14:45
324.9,12/16/21 15:00
324.9,12/16/21 15:15
324.9,12/16/21 15:30
324.9,12/16/21 15:45
320.53,12/17/21 08:31
320.37,12/17/21 08:46
320.55,12/17/21 09:01
318.01,12/17/21 09:16
318.77,12/17/21 09:30
321.18,12/17/21 09:46
322.5,12/17/21 10:00
323.16,12/17/21 10:15
323.17,12/17/21 10:30
320.88,12/17/21 10:46
320.64,12/17/21 11:00
321.47,12/17/21 11:16
321.84,12/17/21 11:31
321.82,12/17/21 11:45
321.57,12/17/21 12:01
321.42,12/17/21 12:16
323.06,12/17/21 12:30
322.71,12/17/21 12:45
323.52,12/17/21 13:01
323.43,12/17/21 13:16
322.99,12/17/21 13:31
324.07,12/17/21 13:45
324.04,12/17/21 14:01
323.87,12/17/21 14:15
323.24,12/17/21 14:30
322.68,12/17/21 14:46
323.8,12/17/21 15:01
323.8,12/17/21 15:15
323.8,12/17/21 15:30
323.8,12/17/21 15:46
320.38,12/20/21 08:30
322.38,12/20/21 08:46
321.34,12/20/21 09:00
319.12,12/20/21 09:16
319.06,12/20/21 09:30
320.6,12/20/21 09:45
319.55,12/20/21 10:00
318.31,12/20/21 10:15
318.34,12/20/21 10:31
317.98,12/20/21 10:45
318.97,12/20/21 11:00
319.21,12/20/21 11:15
319.27,12/20/21 11:31
318.52,12/20/21 11:45
318.7,12/20/21 12:00
318.6,12/20/21 12:15
318.73,12/20/21 12:30
318.92,12/20/21 12:45
318.73,12/20/21 13:01
319.54,12/20/21 13:15
318.86,12/20/21 13:31
319.14,12/20/21 13:46
319.53,12/20/21 14:00
319.57,12/20/21 14:15
319.4,12/20/21 14:30
319.48,12/20/21 14:45
319.91,12/20/21 15:01
319.91,12/20/21 15:16
319.91,12/20/21 15:31
319.91,12/20/21 15:46
323.54,12/21/21 08:30
322.61,12/21/21 08:45
322.36,12/21/21 09:00
